Zeitschrift gefiltert;Fachbereich;Schlagworte;field;key word
Acta Crystallographica Section D: Biological Crystallography;Chemie und Pharmazie  |  Geowissenschaften  |  Physik                    ;Kristallographie          ;Chemistry and Pharmacy | Earth Sciences | Physics                    ;crystallography          
Acta Crystallographica. Section D, Structural Biology;Chemie und Pharmazie  |  Physik                    ;Kristallographie          ;Chemistry and Pharmacy | Physics                    ;crystallography          
Acta Crystallographica Section E: Crystallographic Communications;Chemie und Pharmazie  |  Geowissenschaften                    ;Kristallographie          ;Chemistry and Pharmacy | Geosciences                    ;crystallography          
Acta Crystallographica. Section F, Structural Biology Communications;Biologie  |  Chemie und Pharmazie  |  Geowissenschaften  |  Physik                    ;Kristallographie          ;Biology | Chemistry and Pharmacy | Earth Sciences | Physics                    ;crystallography          
Acta Crystallographica Section E: Structure Reports Online;Chemie und Pharmazie  |  Geowissenschaften                    ;Kristallographie          ;Chemistry and Pharmacy | Geosciences                    ;crystallography          
Acta Crystallographica Section F: Structural Biology and Crystallization Communications;Chemie und Pharmazie  |  Physik                    ;Kristallographie          ;Chemistry and Pharmacy | Physics                    ;crystallography          
Acta Crystallographica Section F;Chemie und Pharmazie  |  Physik                    ;Kristallographie          ;Chemistry and Pharmacy | Physics                    ;crystallography          
Acta Diabetologica;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Acta Ethologica;Biologie                    ;Verhaltensforschung          ;biology                    ;behavioural science          
Acta Histochemica;Biologie  |  Medizin                    ;Histologie          ;Biology | Medicine                    ;histology          
Acta Informatica;Informatik                    ;Allgemeine Informatik          ;computer science                    ;General Information Technology          
Acta Materialia;Maschinenwesen, Werkstoffwissenschaften                    ;Werkstoffkunde          ;Mechanical Engineering, Materials Science                    ;materials science          
Acta Medica Scandinavica;Medizin                    ;Innere Medizin          ;medicine                    ;Internal Medicine          
Acta Naturae;Biologie | Chemie und Pharmazie | Medizin | Naturwissenschaft allgemein;Allgemeine Naturwissenschaften;Biology | Chemistry and Pharmacy | Medicine | Science in General;General Natural Sciences
Acta Neurochirurgica;Medizin                    ;Neurochirurgie  |  Neurologie          ;medicine                    ;Neurosurgery | Neurology          
Acta Neurologica Belgica;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Acta Neurologica Scandinavica;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Acta Neuropathologica;Medizin                    ;Neurologie  |  Psychiatrie  |  Pathologie          ;medicine                    ;Neurology | Psychiatry | Pathology          
Acta Neuropathologica Communications;Medizin                    ;Neurologie  |  Pathologie          ;medicine                    ;Neurology | Pathology          
Acta Obstetricia et Gynecologica Scandinavica;Medizin                    ;Gynäkologie und Geburtshilfe          ;medicine                    ;Gynaecology and obstetrics          
Acta Oncologica (Stockholm, Sweden);Medizin;Onkologie          ;medicine;oncology          
Acta Ophthalmologica;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Acta Orthopaedica;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Acta Ortopedica Brasileira;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Acta Oto-Laryngologica;Medizin                    ;Hals-Nasen-Ohren-Heilkunde          ;medicine                    ;otorhinolaryngology          
Acta Paediatrica (Oslo, Norway : 1992);Medizin;Kinderheilkunde;medicine;paediatrics
Acta palaeontologica Polonica;Geowissenschaften                    ;Paläontologie          ;earth sciences                    ;paleontology          
Acta Physiologica (Oxford, England);Medizin;Humanphysiologie;medicine;human physiology
Acta Physiologiae Plantarum;Biologie                    ;Molekulare Botanik          ;biology                    ;Molecular Botany          
Acta Psychiatrica Scandinavica;Medizin                    ;Psychiatrie          ;medicine                    ;psychiatry          
Acta Psychologica;Psychologie                    ;Allgemeine psychologische Zeitschriften          ;psychology                    ;General psychological journals          
Acta Radiologica (Stockholm, Sweden : 1987);Medizin;Radiologie          ;medicine;radiology          
Acta Tropica;Medizin                    ;Tropenmedizin          ;medicine                    ;tropical medicine          
Acta Veterinaria Scandinavica;Medizin                    ;Tiermedizin          ;medicine                    ;veterinary medicine          
Acute Medicine & Surgery;Medizin                    ;Intensiv- und Notfallmedizin          ;medicine                    ;Intensive care and emergency medicine          
Adaptive Behavior;Psychologie                    ;Verhaltenspsychologie          ;psychology                    ;behavioural psychology          
Addiction (Abingdon, England);Medizin  |  Psychologie                    ;Suchtforschung          ;Medicine | Psychology                    ;addiction research          
Addictive Behaviors;Medizin  |  Psychologie                    ;Suchtforschung          ;Medicine | Psychology                    ;addiction research          
Addiction Biology;Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
Addiction Science & Clinical Practice;Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
Adipocyte;Biologie  |  Chemie und Pharmazie                    ;Biochemie          ;Biology | Chemistry and Pharmacy                    ;biochemistry          
Administration and Policy in Mental Health;Medizin  |  Psychologie                    ;Psychotherapie  |  Psychiatrie          ;Medicine | Psychology                    ;Psychotherapy | Psychiatry          
Administrative sciences;Politologie                    ;Verwaltungswesen          ;political science                    ;administrative management          
Administrative Science Quarterly;Wirtschaftswissenschaften                    ;Verwaltungswesen  |  Organisationsmanagement  |  Verwaltungswissenschaft          ;economic sciences                    ;Administration | Organizational Management | Administrative Science          
Advances in aging research;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Advances in biological chemistry;Biologie  |  Chemie und Pharmazie                    ;Biochemie          ;Biology | Chemistry and Pharmacy                    ;biochemistry          
Advances in Biological Regulation;Biologie                    ;Biologie          ;biology                    ;biology          
Advances in bioscience and biotechnology (Print);Biologie | Verfahrenstechnik, Biotechnologie;Allgemeine Biowissenschaften | Biotechnologie;Biology | Process Engineering, Biotechnology;General Biosciences | Biotechnology
Advances in breast cancer research;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Advances in cancer prevention;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Advances in Cognitive Psychology;Psychologie                    ;Kognitive Psychologie          ;psychology                    ;Cognitive Psychology          
Advanced Drug Delivery Reviews;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Advances in Eating Disorders;Medizin                    ;Ernährungsmedizin;medicine                    ;nutritional medicine
Advanced Energy Materials;Maschinenwesen, Werkstoffwissenschaften                    ;Energietechnik          ;Mechanical Engineering, Materials Science                    ;power engineering          
Advanced Engineering Materials;Maschinenwesen, Werkstoffwissenschaften                    ;Werkstoffkunde          ;Mechanical Engineering, Materials Science                    ;materials science          
Advances in Enzyme Regulation;Medizin                    ;Labormedizin          ;medicine                    ;laboratory medicine          
Advances in enzyme research;Medizin                    ;Biomedizin          ;medicine                    ;biomedicine          
Advances in experimental medicine and biology;Biologie  |  Medizin                    ;Biomedizin          ;Biology | Medicine                    ;biomedicine          
Advanced Functional Materials;Chemie und Pharmazie  |  Elektrotechnik,  Mess- und Regelungstechnik                    ;Halbleitertechnik          ;Chemistry and pharmaceuticals | Electrical engineering, measurement and control technology                    ;semiconductor technology          
Advanced Healthcare Materials;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Advances in Health Sciences Education;Medizin                    ;Medizinische Ausbildung          ;medicine                    ;Medical education          
Advances in molecular imaging;Biologie  |  Medizin                    ;Molekularbiologie          ;Biology | Medicine                    ;molecular biology          
Advances in Life Course Research;Medizin                    ;Gerontologie          ;medicine                    ;gerontology          
Advanced Materials (Deerfield Beach, Fla.);Chemie und Pharmazie | Maschinenwesen, Werkstoffwissenschaften | Physik;Werkstoffkunde | Werkstoffchemie;Chemistry and Pharmacy | Mechanical Engineering, Materials Science | Physics;Materials Science | Materials Chemistry
Advances in lung cancer (Irvine);Medizin;Onkologie | Pulmologie;medicine;Oncology | Pulmonology
Advanced Materials Interfaces;Maschinenwesen, Werkstoffwissenschaften                    ;Werkstoffkunde          ;Mechanical Engineering, Materials Science                    ;materials science          
Advances in Mathematics;Mathematik                    ;Allgemeine mathematische Zeitschriften          ;mathematics                    ;General mathematical journals          
Advances in Medical Education and Practice;Medizin  |  Pädagogik                    ;Medizinische Ausbildung          ;Medicine | Pedagogy                    ;Medical education          
Advances in medical ethics;Medizin;Bioethik;medicine;bioethics
Advances in microbiology;Medizin                    ;Mikrobiologie          ;medicine                    ;microbiology          
Advances in Nutrition;Land- und Forstwirtschaft u.a.                    ;Ernährungswissenschaften          ;Agriculture and forestry etc.                    ;nutritional sciences          
Advanced Optical Materials;Physik                    ;Optik          ;physics                    ;optics          
Advances in pediatric research;Medizin;Kinderheilkunde;medicine;paediatrics
Advanced Pharmaceutical Bulletin;Chemie und Pharmazie;Pharmazie;Chemicals and pharmaceuticals;pharmacy
Advances in Physiotherapy;Medizin  |  Sport                    ;Physikalische Therapie          ;Medicine | Sports                    ;Physical Therapy          
Advances in rare diseases;Medizin;Seltene Krankheiten;medicine;Rare diseases
Advances in research;Biologie                    ;Molekulare Botanik          ;biology                    ;Molecular Botany          
Advanced Science;Naturwissenschaft allgemein                    ;Allgemeine Naturwissenschaften          ;Science in general                    ;General Natural Sciences          
Advanced science (Weinheim, Baden-Wurttemberg, Germany);Naturwissenschaft allgemein                    ;Allgemeine Naturwissenschaften          ;Science in general                    ;General Natural Sciences          
Advanced Synthesis & Catalysis;Chemie und Pharmazie                    ;Angewandte Chemie          ;Chemicals and pharmaceuticals                    ;Applied Chemistry          
Advanced techniques in biology & medicine;Biologie | Medizin;Biomedizin;Biology | Medicine;biomedicine
Advances in Water Resources;Geographie  |  Geowissenschaften                    ;Hydrologie          ;Geography | Earth Sciences                    ;hydrology          
Advances in Wound Care;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
AERA open;Pädagogik                    ;Allgemeine Pädagogik          ;pedagogy                    ;General pedagogy          
Aerobiologia;Biologie                    ;Aerobiologie          ;biology                ;aerobiology          
Aerosol Science and Technology;Energie, Umweltschutz, Kerntechnik  |  Verfahrenstechnik, Biotechnologie                    ;Immissionsschutz          ;Energy, environmental protection, nuclear technology | Process engineering, biotechnology                    ;immission control          
Aesthetic Plastic Surgery;Medizin                    ;Plastische Chirurgie          ;medicine                    ;Plastic Surgery          
Aesthetic Surgery Journal;Medizin                    ;Plastische Chirurgie          ;medicine                    ;Plastic Surgery          
Africa;Ethnologie (Volks- und Völkerkunde)  |  Politologie  |  Soziologie                    ;Länderbericht Afrika  |  Afrikanistik          ;Ethnology (Folk and Ethnology) | Political Science | Sociology                    ;Country Report Africa | African Studies          
The African Archaeological Review;Archäologie                 ;Regionalarchäologie Afrika          ;archaeology                 ;Regional Archaeology Africa          
African Journal of AIDS Research;Medizin                    ;AIDS          ;medicine                    ;AIDS          
African journal of environmental science and technology;Energie, Umweltschutz, Kerntechnik                    ;Umweltschutz          ;Energy, environmental protection, nuclear technology                    ;environmental protection          
African Journal of Infectious Diseases;Medizin                    ;Infektionskrankheiten          ;medicine                    ;infectious diseases          
African journal of laboratory medicine;Medizin                    ;Klinische Medizin          ;medicine                    ;Clinical Medicine          
African Journal of Primary Health Care & Family Medicine;Medizin                    ;Allgemeinmedizin          ;medicine                    ;general medicine          
Ageing International;Medizin  |  Soziologie                    ;Gerontologie  |  Geriatrie          ;Medicine | Sociology                    ;Gerontology | Geriatrics          
Ageing Research Reviews;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Ageing and Society;Medizin  |  Soziologie                    ;Gerontologie  |  Geriatrie          ;Medicine | Sociology                    ;Gerontology | Geriatrics          
Agenda (Durban, South Africa);Soziologie;Genderforschung;sociology;gender research
Age;Medizin                    ;Gerontologie          ;medicine                    ;gerontology          
Age and Ageing;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Aggression and Violent Behavior;Psychologie                    ;Gewaltforschung  |  Psychologie          ;psychology                    ;Violence research | Psychology          
Aging (Albany NY);Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Aging;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Aging Cell;Biologie                    ;Zellbiologie          ;biology                    ;cell biology          
Aging Clinical and Experimental Research;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Aging and Disease;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
The Aging Male ;Medizin                    ;Geriatrie  |  Andrologie          ;medicine                    ;Geriatrics | Andrology          
The Aging Male;Medizin                    ;Geriatrie  |  Andrologie          ;medicine                    ;Geriatrics | Andrology          
Aging & Mental Health;Medizin                    ;Geriatrie          ;medicine                    ;geriatrics          
Agricultural and Forest Entomology;Biologie  |  Land- und Forstwirtschaft u.a.                    ;Entomologie          ;Biology | Agriculture and Forestry etc.                    ;entomology          
Agriculture, Ecosystems & Environment;Biologie  |  Land- und Forstwirtschaft u.a.                    ;Agrarökologie  |  Umweltforschung          ;Biology | Agriculture and Forestry etc.                    ;Agricultural Ecology | Environmental Research          
Agricultural and Forest Meteorology;Geographie  |  Land- und Forstwirtschaft u.a.  |  Physik                    ;Meteorologie  |  Agrarmeteorologie  |  Forstmeteorologie          ;Geography | Agriculture and Forestry etc. | Physics                    ;Meteorology | Agricultural meteorology | Forest meteorology          
Agricultural Systems;Land- und Forstwirtschaft u.a.                    ;Allgemeine Agrarwissenschaften          ;Agriculture and forestry etc.                    ;Agricultural sciences          
Agricultural Water Management;Land- und Forstwirtschaft u.a.                    ;Hydrologie          ;Agriculture and forestry etc.                    ;hydrology          
AIDS (London, England);Medizin                    ;AIDS          ;medicine                    ;AIDS          
AIDS and Behavior;Medizin                    ;AIDS          ;medicine                    ;AIDS          
AIDS Care;Medizin  |  Psychologie                    ;AIDS          ;Medicine | Psychology                    ;AIDS          
AIDS Patient Care and STDs;Medizin                    ;AIDS          ;medicine                    ;AIDS          
AIDS Research and Human Retroviruses;Biologie  |  Medizin                    ;AIDS          ;Biology | Medicine                    ;AIDS          
AIDS Research and Therapy;Medizin                    ;AIDS          ;medicine                    ;AIDS          
AIMS bioengineering;Verfahrenstechnik, Biotechnologie                    ;Biotechnologie          ;Process Engineering, Biotechnology                    ;biotechnology          
AIMS biophysics;Biologie  |  Physik                    ;Biophysik          ;Biology | Physics                    ;biophysics          
AIMS environmental science;Energie, Umweltschutz, Kerntechnik                    ;Umweltwissenschaften          ;Energy, environmental protection, nuclear technology                    ;environmental sciences          
AIMS genetics;Biologie                    ;Genetik          ;biology                    ;genetics          
AIMS medical science;Medizin                    ;Mathematische Medizin          ;medicine                    ;Mathematical Medicine          
AIMS molecular science;Biologie                    ;Molekularbiologie          ;biology                    ;molecular biology          
AIMS neuroscience;Medizin                    ;Neurologie          ;medicine                    ;neurology          
AIMS public health;Medizin                    ;Öffentliches Gesundheitswesen          ;medicine                    ;public health care          
AIP Advances;Physik                    ;Allgemeine Physik          ;physics                    ;General Physics          
Air Quality, Atmosphere, & Health;Energie, Umweltschutz, Kerntechnik                    ;Immissionsschutz          ;Energy, environmental protection, nuclear technology                    ;immission control          
AJNR. American journal of neuroradiology;Medizin                    ;Neurologie  |  Radiologie          ;medicine                    ;Neurology | Radiology          
Ajob Empirical Bioethics;Biologie  |  Medizin  |  Philosophie                    ;Bioethik          ;Biology | Medicine | Philosophy                    ;bioethics          
Alcohol and Alcoholism (Oxford, Oxfordshire);Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
Alcoholism, Clinical and Experimental Research;Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
Alcohol Research : Current Reviews;Chemie und Pharmazie  |  Medizin                    ;Suchtforschung  |  Pharmazie          ;Chemistry and Pharmacy | Medicine                    ;Addiction research | Pharmacy          
Alcohol Research & Health;Chemie und Pharmazie  |  Medizin                    ;Suchtforschung  |  Pharmazie          ;Chemistry and Pharmacy | Medicine                    ;Addiction research | Pharmacy          
Algal Research;Biologie                    ;Biologie          ;biology                    ;biology          
Algorithms for Molecular Biology;Biologie  |  Medizin                    ;Molekularbiologie          ;Biology | Medicine                    ;molecular biology          
Algorithms for Molecular Biology : AMB;Biologie  |  Medizin                    ;Molekularbiologie          ;Biology | Medicine                    ;molecular biology          
Alimentary Pharmacology & Therapeutics;Medizin                    ;Pharmakologie          ;medicine                    ;pharmacology          
Allergo Journal International;Medizin                    ;Allergologie          ;medicine                    ;allergology          
Allergy;Medizin                    ;Immunologie          ;medicine                    ;immunology          
Allergy, Asthma, & Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology;Medizin                    ;Allergologie  |  Pulmologie          ;medicine                    ;Allergology | Pulmonology          
Allergy, Asthma, and Clinical Immunology : Official Journal of the Canadian Society of Allergy and Clinical Immunology;Medizin                    ;Allergologie  |  Pulmologie          ;medicine                    ;Allergology | Pulmonology          
Alternative & integrative medicine;Medizin                    ;Volksmedizin  |  Alternative Medizin          ;medicine                    ;Folk Medicine | Alternative Medicine          
ALTEX;Medizin                    ;Tierversuche  |  Tiermedizin          ;medicine                    ;Animal experiments | Veterinary medicine          
Alzheimer's & Dementia;Medizin                    ;Geriatrie  |  Neurologie          ;medicine                    ;Geriatrics | Neurology          
Alzheimer's & Dementia : Diagnosis, Assessment & Disease Monitoring;Medizin                    ;Geriatrie  |  Neurologie          ;medicine                    ;Geriatrics | Neurology          
Alzheimer's & Dementia (Amsterdam, Netherlands);Medizin                    ;Geriatrie  |  Neurologie          ;medicine                    ;Geriatrics | Neurology          
Alzheimer's Research & Therapy;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Ambio;Energie, Umweltschutz, Kerntechnik                    ;Mensch-Umwelt-Beziehungen  |  Schweden  |  Umweltforschung  |  Umweltschutz          ;Energy, environmental protection, nuclear technology                    ;Human-Environment Relations | Sweden | Environmental Research | Environmental Protection          
Ambix;Chemie und Pharmazie                    ;Geschichte der Alchemie          ;Chemicals and pharmaceuticals                    ;History of Alchemy          
Amino Acids;Medizin                    ;Labormedizin          ;medicine                    ;laboratory medicine          
Amyloid ;Medizin                    ;Humanbiologie          ;medicine                    ;human biology          
Amyloid;Medizin                    ;Humanbiologie          ;medicine                    ;human biology          
Amyotrophic Lateral Sclerosis;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Amyotrophic Lateral Sclerosis & Frontotemporal Degeneration;Medizin                    ;Neurologie          ;medicine                    ;neurology          
The American Behavioral Scientist;Psychologie;Verhaltenspsychologie;psychology;behavioural psychology
American Heart Journal;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
The American Journal on Addictions;Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
American Journal of Alzheimer's Disease and Other Dementias;Medizin                    ;Geriatrie  |  Alzheimer          ;medicine                    ;Geriatrics | Alzheimer's disease          
American journal of analytical chemistry;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
The American Journal of Bioethics;Medizin  |  Philosophie                    ;Bioethik  |  Medizinethik          ;Medicine | Philosophy                    ;Bioethics | Medical ethics          
The American Journal of Cardiology;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
The American Journal of Clinical Nutrition;Biologie  |  Medizin                    ;Ernährungsmedizin;Biology | Medicine                    ;nutritional medicine
American Journal of Clinical Pathology;Medizin                    ;Pathologie          ;medicine                    ;pathology          
American Journal of Dance Therapy;Psychologie  |  Sport                    ;Tanz  |  Sporttherapie          ;Psychology | Sports                    ;Dance | Sports Therapy          
The American Journal of Drug and Alcohol Abuse;Medizin                    ;Suchtforschung          ;medicine                    ;addiction research          
American Journal of Epidemiology;Medizin                    ;Epidemiologie  |  Statistik          ;medicine                    ;Epidemiology | Statistics          
The American Journal of Gastroenterology;Medizin                    ;Gastroenterologie          ;medicine                    ;gastroenterology          
American Journal of Hematology;Medizin                    ;Hämatologie;medicine                    ;haematology
American Journal of Human Biology;Biologie  |  Medizin                    ;Humanbiologie          ;Biology | Medicine                    ;human biology          
American Journal of Hypertension;Medizin                    ;Innere Medizin          ;medicine                    ;Internal Medicine          
American Journal of Industrial Medicine;Medizin                    ;Arbeitsmedizin          ;medicine                    ;occupational medicine          
American Journal of Kidney Diseases;Medizin                    ;Nephrologie          ;medicine                    ;nephrology          
The American Journal of Medicine;Medizin                    ;Allgemeine medizinische Zeitschriften  |  innere Medizin          ;medicine                    ;General medical journals | internal medicine          
American Journal of Medical Genetics. Part a;Biologie  |  Medizin                    ;Humanbiologie          ;Biology | Medicine                    ;human biology          
American Journal of Medical Genetics;Biologie  |  Medizin                    ;Humanbiologie          ;Biology | Medicine                    ;human biology          
American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics;Biologie  |  Medizin                    ;Humanbiologie          ;Biology | Medicine                    ;human biology          
American Journal of Medical Genetics. Part C, Seminars in Medical Genetics;Medizin                    ;Humanbiologie          ;medicine                    ;human biology          
American Journal of Men's Health;Medizin                    ;Andrologie          ;medicine                    ;andrology          
American journal of molecular biology;Biologie                    ;Molekularbiologie          ;biology                    ;molecular biology          
American Journal of Obstetrics and Gynecology;Medizin                    ;Gynäkologie und Geburtshilfe          ;medicine                    ;Gynaecology and obstetrics          
American Journal of Ophthalmology;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
American Journal of Physiology - Cell Physiology;Medizin                    ;Humanphysiologie  |  Zellbiologie          ;medicine                    ;Human Physiology | Cell Biology          
American Journal of Physiology - Endocrinology and Metabolism;Medizin                    ;Humanphysiologie  |  Endokrinologie          ;medicine                    ;Human Physiology | Endocrinology          
American journal of physiology. Endocrinology and metabolism;Medizin                    ;Humanphysiologie  |  Endokrinologie          ;medicine                    ;Human Physiology | Endocrinology          
American Journal of Physiology - Gastrointestinal and Liver Physiology;Medizin                    ;Gastroenterologie  |  Hepatologie          ;medicine                    ;Gastroenterology | Hepatology          
American Journal of Physiology - Heart and Circulatory Physiology;Medizin                    ;Humanphysiologie  |  Kardiologie          ;medicine                    ;Human Physiology | Cardiology          
American Journal of Physiology - Lung Cellular and Molecular Physiology;Medizin                    ;Humanphysiologie          ;medicine                    ;human physiology          
American Journal of Physiology - Regulatory, Integrative and Comparative Physiology;Medizin                    ;Humanphysiologie          ;medicine                    ;human physiology          
American Journal of Physiology - Renal Physiology;Medizin                    ;Humanphysiologie          ;medicine                    ;human physiology          
American Journal of Physical Anthropology;Biologie                    ;Anthropologie          ;biology                    ;anthropology          
American Journal of Physical Medicine & Rehabilitation;Medizin                    ;Physikalische Therapie          ;medicine                    ;Physical Therapy          
American journal of plant sciences;Biologie                    ;Allgemeine Botanik          ;biology                    ;General Botany          
American Journal of Preventive Medicine;Medizin                    ;Präventivmedizin        ;medicine                    ;preventive medicine        
American Journal of Primatology;Biologie                    ;Allgemeine Zoologie  |  Anthrophologie          ;biology                    ;General Zoology | Anthrophology          
American journal of public health;Medizin                    ;Öffentliches Gesundheitswesen: USA          ;medicine                    ;Public health care: USA          
American Journal of Reproductive Immunology;Medizin                    ;Immunologie          ;medicine                    ;immunology          
American journal of reproductive immunology (New York, N.Y. : 1989);Medizin                    ;Immunologie          ;medicine                    ;immunology          
American Journal of Sexuality Education;Pädagogik                    ;Sexualerziehung          ;pedagogy                    ;sexual education          
American journal of speech-language pathology / American Speech-Language-Hearing Association;Medizin;Hals-Nasen-Ohren-Heilkunde;medicine;otorhinolaryngology
American Journal of Transplantation;Medizin                    ;Transplantationsmedizin          ;medicine                    ;transplant medicine          
The American Journal of Tropical Medicine and Hygiene;Medizin;Tropenmedizin | Epidemiologie;medicine;Tropical Medicine | Epidemiology
American journal of virology;Medizin;Immunologie | Virologie;medicine;Immunology | Virology
American medical journal;Medizin                    ;Medizinische Ausbildung          ;medicine                    ;Medical education          
The American Sociologist;Soziologie                    ;Allgemeine Soziologie          ;sociology                    ;General Sociology          
The American Statistician;Mathematik  |  Soziologie  |  Wirtschaftswissenschaften                    ;Wirtschafts- und Sozialstatistik USA          ;Mathematics | Sociology | Economics                    ;Economic and social statistics USA          
Anaerobe;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
Anaesthesia;Medizin                    ;Anästhesie          ;medicine                    ;anesthesia          
Der Anaesthesist;Medizin                    ;Anästhesie          ;medicine                    ;anesthesia          
The Analyst;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Analytical and Bioanalytical Chemistry;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Analytical Biochemistry;Biologie  |  Chemie und Pharmazie                    ;Biochemie  |  Analytische Chemie          ;Biology | Chemistry and Pharmacy                    ;Biochemistry | Analytical Chemistry          
Analytical Cellular Pathology (Amsterdam);Medizin;Onkologie;medicine;oncology
Analytical Chemistry Insights;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Analytica chimica acta;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Analytical Letters;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Analytical Methods;Chemie und Pharmazie                    ;Analytische Chemie          ;Chemicals and pharmaceuticals                    ;Analytical Chemistry          
Analytical methods : advancing methods and applications;Chemie und Pharmazie;Analytische Chemie;Chemicals and pharmaceuticals;Analytical Chemistry
Anatomia, Histologia, Embryologia;Medizin                    ;Tiermedizin          ;medicine                    ;veterinary medicine          
Anatomy & physiology : current research;Medizin                    ;Anatomie          ;medicine                    ;anatomy          
Anatomical Record (Hoboken, N.j. : 2007);Medizin;Anatomie | Physiologie;medicine;Anatomy | Physiology
Anatomical Sciences Education;Medizin                    ;Anatomie  |  Medizinische Ausbildung          ;medicine                    ;Anatomy | Medical education          
Anatomical Science International;Medizin                    ;Anatomie          ;medicine                    ;anatomy          
Andrology;Medizin                    ;Andrologie          ;medicine                    ;andrology          
Andrology : open access;Medizin                    ;Andrologie          ;medicine                    ;andrology          
Anesthesiology and Pain Medicine;Medizin;Anästhesie;medicine;anesthesia
Angewandte Chemie (International Ed. in English);Chemie und Pharmazie                    ;Angewandte Chemie          ;Chemicals and pharmaceuticals                    ;Applied Chemistry          
Angewandte Chemie (Weinheim an Der Bergstrasse, Germany);Chemie und Pharmazie                    ;Angewandte Chemie          ;Chemicals and pharmaceuticals                    ;Applied Chemistry          
Angiogenesis;Medizin                    ;Angiologie          ;medicine                    ;angiology          
Angiology: open access;Medizin                    ;Angiologie          ;medicine                    ;angiology          
Animal Conservation;Biologie                    ;Allgemeine Zoologie  |  Allgemeiner Naturschutz          ;biology                    ;General Zoology | General Conservation          
Animal;Land- und Forstwirtschaft u.a.                    ;Tierzucht  |  Tiermedizin          ;Agriculture and forestry etc.                    ;Animal Breeding | Veterinary Medicine          
Animals : an Open Access Journal from MDPI;Land- und Forstwirtschaft u.a.                    ;Tierzucht  |  Tiermedizin          ;Agriculture and forestry etc.                    ;Animal Breeding | Veterinary Medicine          
Animal Behaviour;Biologie                    ;Verhaltensforschung          ;biology                    ;behavioural science          
Animal behavior and cognition;Psychologie                    ;Experimentelle Psychologie          ;psychology                    ;Experimental Psychology          
Animal Cognition;Biologie                    ;Verhaltensforschung          ;biology                    ;behavioural science          
Animal Genetics;Land- und Forstwirtschaft u.a.                    ;Tierzucht  |  Tiermedizin          ;Agriculture and forestry etc.                    ;Animal Breeding | Veterinary Medicine          
Animal Health Research Reviews;Medizin                    ;Tiermedizin          ;medicine                    ;veterinary medicine          
Animal Reproduction Science;Land- und Forstwirtschaft u.a.                    ;Tierzucht          ;Agriculture and forestry etc.                    ;livestock breeding          
Animal Science Journal = Nihon Chikusan Gakkaiho;Land- und Forstwirtschaft u.a.                    ;Tierzucht          ;Agriculture and forestry etc.                    ;livestock breeding          
Annual research & review in biology;Informatik                    ;Informationstechnologie          ;computer science                    ;information technology          
Annual review of genomics and human genetics;Biologie                    ;Genetik          ;biology                    ;genetics          
